Date,Total Q cms,SP,w_est,unit_SP
2015-08-01,0.28599968,13.88800146096,10.4058616387001,1.3346325314676
2016-09-03,0.28599968,13.88800146096,10.4058616387001,1.3346325314676
2015-06-24,0.283168,13.750496496,10.3604028468262,1.32721639296221
2015-08-23,0.283168,13.750496496,10.3604028468262,1.32721639296221
2016-07-28,0.283168,13.750496496,10.3604028468262,1.32721639296221
2015-06-29,0.276655136,13.434235076592,10.2548721571108,1.31003437885636
2016-07-30,0.274956128,13.351732097616,10.2271141582595,1.30552293550308
2016-05-20,0.27325712,13.26922911864,10.1992599398481,1.30099920944241
2015-08-11,0.272690784,13.241728125648,10.1899536570912,1.29948855227943
2015-09-02,0.272690784,13.241728125648,10.1899536570912,1.29948855227943
2015-10-13,0.272690784,13.241728125648,10.1899536570912,1.29948855227943
2017-09-13,0.270708608,13.145474650176,10.1572961513289,1.29419034892038
2015-08-12,0.27042544,13.13172415368,10.1526198751858,1.29343207124059
2018-07-18,0.269575936,13.090472664192,10.1385745713121,1.29115513942487
2015-07-05,0.268443264,13.035470678208,10.1198088884875,1.28811431340739
2018-07-17,0.268443264,13.035470678208,10.1198088884875,1.28811431340739
2015-09-05,0.268160096,13.021720181712,10.1151105427269,1.28735322532634
2015-09-03,0.267027424,12.966718195728,10.0962893223083,1.28430533058094
2018-07-23,0.264195744,12.829213230768,10.0490397886721,1.2766606064422
2016-06-07,0.26334624,12.78796174128,10.0348096760731,1.27436016766431
2016-09-08,0.262496736,12.746710251792,10.0205538341747,1.2720564614223
2016-07-01,0.258815552,12.567953797344,9.95847800913302,1.26203560281178
2017-09-12,0.257966048,12.526702307856,9.94408272187429,1.25971420976825
2016-08-13,0.257399712,12.499201314864,9.93447111030805,1.25816474536775
2015-08-05,0.255983872,12.430448832384,9.91039014835171,1.25428450810803
2015-08-07,0.2548512,12.3754468464,9.89107162353207,1.25117351460253
2016-05-29,0.25343536,12.30669436392,9.86685572891736,1.2472762045007
2015-08-25,0.253152192,12.292943867424,9.86200346576771,1.24649559393225
2016-10-01,0.252869024,12.279193370928,9.85714816221615,1.24571459907602
2016-05-28,0.250320512,12.155438902464,9.8133127304577,1.23866824958477
2015-08-31,0.248338336,12.059185426992,9.77904542811367,1.23316590720841
2016-05-04,0.246922496,11.990432944512,9.75447490830518,1.22922382365278
2016-08-15,0.240975968,11.701672518096,9.65040742555361,1.21255735660556
2016-08-22,0.238993792,11.605419042624,9.61539919167874,1.20696175075783
2016-06-08,0.238144288,11.564167553136,9.60034589486765,1.20455738572068
2016-05-27,0.237577952,11.536666560144,9.59029365127596,1.20295237869062
2016-09-02,0.230215584,11.179153651248,9.45837399687244,1.18193186851615
2016-08-02,0.229932416,11.165403154752,9.45325330957282,1.18111752526988
2016-10-06,0.229649248,11.151652658256,9.44812908954554,1.18030274063417
2015-08-22,0.22936608,11.13790216176,9.44300132999286,1.17948751382506
2016-07-31,0.229082912,11.124151665264,9.43787002409555,1.17867184405626
2018-08-03,0.228233408,11.082900175776,9.42245475981927,1.17622216909308
2015-09-07,0.22795024,11.06914967928,9.41730919991807,1.17540471957492
2015-07-06,0.227667072,11.055399182784,9.41216005925042,1.17458682312979
2015-10-15,0.227383904,11.041648686288,9.40700733086614,1.17376847895699
2016-08-04,0.224269056,10.890393224832,9.35008851920404,1.16473691157729
